case,cores,candidate,operation,makespan,added_copy_bytes,cache_hit_rate,accepted
case_015,4,fifo_reuse_reorder,reuse_window_reorder,45748,987108,0.4122602277961094,False
case_015,4,adaptive_partition_l2,adaptive_partition,44393,1074124,0.4485722642522559,True
case_015,5,baseline_a_problem2_plan,problem2_plan,40649,336384,0.0876492588048156,True
case_015,5,direct_affinity,direct_affinity,44178,340992,0.09107985971142595,False
case_015,5,private_cache_affinity,private_cache_affinity,44686,336384,0.0876492588048156,False
case_015,5,l2_scatter_0,l2_scatter,43040,336384,0.0876492588048156,False
case_015,5,l2_scatter_1,l2_scatter,43644,322560,0.07720029626143912,False
case_015,5,fifo_reuse_reorder,reuse_window_reorder,43040,336384,0.0876492588048156,False
case_015,5,adaptive_partition_l2,adaptive_partition,39462,1438988,0.4762120664807153,True
case_016,1,baseline_a_problem2_plan,problem2_plan,7715523,0,0.0,True
case_016,2,baseline_a_problem2_plan,problem2_plan,4660819,400528,0.49768633367422366,True
case_016,2,l2_scatter_0,l2_scatter,4659199,400528,0.49768633367422366,True
case_016,2,l2_scatter_1,l2_scatter,4659331,400536,0.49768381403684636,False
case_016,2,fifo_reuse_reorder,reuse_window_reorder,4660819,400528,0.49768633367422366,False
case_016,3,baseline_a_problem2_plan,problem2_plan,3875152,402984,0.4976823418204611,True
case_016,3,direct_affinity,direct_affinity,4060774,763152,0.6548474154758845,False
case_016,3,private_cache_affinity,private_cache_affinity,4060775,763152,0.6548474154758845,False
case_016,3,l2_scatter_0,l2_scatter,3871360,402992,0.4976798261133296,True
case_016,4,baseline_a_problem2_plan,problem2_plan,3380175,373848,0.4756458748704568,True
case_016,4,direct_affinity,direct_affinity,3541757,1028448,0.7184656168394398,False
case_016,4,private_cache_affinity,private_cache_affinity,3542648,1093984,0.7309262060396521,False
case_016,4,l2_scatter_0,l2_scatter,3378874,439384,0.5172539048310933,True
case_016,4,l2_scatter_1,l2_scatter,3382266,570460,0.5833721710307699,False
case_016,5,baseline_a_problem2_plan,problem2_plan,2086359,214900,0.3312887122894302,True
case_016,5,direct_affinity,direct_affinity,2142167,1230388,0.7519809639184005,False
case_016,5,private_cache_affinity,private_cache_affinity,2243068,967176,0.7042146840836132,False
case_016,5,l2_scatter_0,l2_scatter,2087098,280436,0.3972394530673914,False
case_017,1,baseline_a_problem2_plan,problem2_plan,162810,22528,0.040398388942088706,True
case_017,2,baseline_a_problem2_plan,problem2_plan,77061,87552,0.06166990540735863,True
case_017,2,direct_affinity,direct_affinity,77061,87552,0.06166990540735863,False
case_017,2,adaptive_partition_l2,adaptive_partition,77444,312848,0.09985273631840796,False
case_017,3,baseline_a_problem2_plan,problem2_plan,48791,314432,0.17054401275095424,True
case_017,3,direct_affinity,direct_affinity,49954,515136,0.17026779717749035,False
case_017,3,private_cache_affinity,private_cache_affinity,50613,547888,0.1612550054741515,False
case_017,3,l2_scatter_0,l2_scatter,51441,375872,0.1391618644288594,False
case_017,3,l2_scatter_1,l2_scatter,49532,411200,0.13732360843103517,False
case_017,3,fifo_reuse_reorder,reuse_window_reorder,50323,314432,0.17054401275095424,False
case_017,3,adaptive_partition_l2,adaptive_partition,53240,547888,0.1612550054741515,False
case_017,4,baseline_a_problem2_plan,problem2_plan,37968,500624,0.12562345142710044,True
case_017,4,direct_affinity,direct_affinity,40132,500624,0.15692634424172217,False
case_017,4,l2_scatter_0,l2_scatter,40132,500624,0.15198378221836084,False
case_017,4,l2_scatter_1,l2_scatter,41275,477584,0.15427126815215475,False
case_017,4,fifo_reuse_reorder,reuse_window_reorder,40132,500624,0.15198378221836084,False
case_017,4,adaptive_partition_l2,adaptive_partition,39420,681072,0.2150996483879609,False
case_017,5,baseline_a_problem2_plan,problem2_plan,32430,724872,0.1750373001214341,True
