case,cores,status,makespan_cycles,added_copy_bytes,speedup,spill_added_copy_bytes,official_evals,solver_seconds,plan_file,result_file
case_032,3,scored,11925,12364,3.475303983,0,12,9.234,results_problem2/case_032_3cores/best_plan.json,
case_032,4,scored,10039,20564,4.128200020,0,11,10.070,results_problem2/case_032_4cores/best_plan.json,
case_032,5,scored,8951,143652,4.629985476,0,11,9.548,results_problem2/case_032_5cores/best_plan.json,
case_033,1,singlecore_reference,1774196,0,1.000000000,,0,0,,
case_033,2,scored,890917,6650400,1.991426811,4572672,7,24.177,results_problem2/case_033_2cores/best_plan.json,
case_033,3,scored,592259,13754720,2.995642109,2484224,8,38.870,results_problem2/case_033_3cores/best_plan.json,
case_033,4,scored,443224,13313664,4.002933054,12288,7,35.812,results_problem2/case_033_4cores/best_plan.json,
case_033,5,scored,359850,7258756,4.930376546,307200,12,42.693,results_problem2/case_033_5cores/best_plan.json,
case_034,1,singlecore_reference,842996,0,1.000000000,,0,0,,
case_034,2,scored,417854,1651200,2.017441499,609280,7,21.700,results_problem2/case_034_2cores/best_plan.json,
case_034,3,scored,278372,5531744,3.028307445,0,7,30.782,results_problem2/case_034_3cores/best_plan.json,
case_034,4,scored,208690,6320776,4.039465236,0,7,32.143,results_problem2/case_034_4cores/best_plan.json,
case_034,5,scored,173623,3350528,4.855324467,49152,8,27.145,results_problem2/case_034_5cores/best_plan.json,
case_035,1,singlecore_reference,169571,0,1.000000000,,0,0,,
case_035,2,scored,92356,319022,1.836058296,0,11,31.654,results_problem2/case_035_2cores/best_plan.json,
case_035,3,scored,62974,475492,2.692714454,0,11,34.601,results_problem2/case_035_3cores/best_plan.json,
case_035,4,scored,48379,663552,3.505053846,0,11,35.753,results_problem2/case_035_4cores/best_plan.json,
case_035,5,scored,40788,710220,4.157374718,0,11,38.512,results_problem2/case_035_5cores/best_plan.json,
case_036,1,singlecore_reference,931510,0,1.000000000,,0,0,,
case_036,2,scored,466068,1152,1.998656848,0,5,13.071,results_problem2/case_036_2cores/best_plan.json,
case_036,3,scored,311345,2304,2.991890026,0,6,14.101,results_problem2/case_036_3cores/best_plan.json,
case_036,4,scored,233584,3456,3.987901569,0,6,14.214,results_problem2/case_036_4cores/best_plan.json,
case_036,5,scored,187182,4608,4.976493466,0,6,15.097,results_problem2/case_036_5cores/best_plan.json,
case_037,1,singlecore_reference,210001,0,1.000000000,,0,0,,
case_037,2,scored,105374,204800,1.992910965,0,7,5.755,results_problem2/case_037_2cores/best_plan.json,
case_037,3,scored,70894,1077248,2.962182977,0,7,8.205,results_problem2/case_037_3cores/best_plan.json,
case_037,4,scored,53320,614400,3.938503376,0,6,6.358,results_problem2/case_037_4cores/best_plan.json,
case_037,5,scored,43397,1445888,4.839067217,0,7,8.693,results_problem2/case_037_5cores/best_plan.json,
case_038,1,singlecore_reference,1364555,0,1.000000000,,0,0,,
case_038,2,scored,671734,4807680,2.031391890,419328,8,52.013,results_problem2/case_038_2cores/best_plan.json,
case_038,3,scored,446710,7970816,3.054677531,0,8,57.905,results_problem2/case_038_3cores/best_plan.json,
case_038,4,scored,338262,9618944,4.034018010,0,7,56.167,results_problem2/case_038_4cores/best_plan.json,
case_038,5,scored,272108,11258368,5.014755171,0,7,59.057,results_problem2/case_038_5cores/best_plan.json,
case_039,1,singlecore_reference,1435262,0,1.000000000,,0,0,,
case_039,2,scored,690944,4431872,2.077247939,229376,8,41.070,results_problem2/case_039_2cores/best_plan.json,
case_039,3,scored,461085,12410880,3.112792652,0,8,45.597,results_problem2/case_039_3cores/best_plan.json,
case_039,4,scored,348947,9986048,4.113123196,0,7,43.474,results_problem2/case_039_4cores/best_plan.json,
case_039,5,scored,301586,11583488,4.759047171,0,7,45.369,results_problem2/case_039_5cores/best_plan.json,
case_040,1,singlecore_reference,253454,0,1.000000000,,0,0,,
case_040,2,scored,133225,452754,1.902450741,0,11,23.975,results_problem2/case_040_2cores/best_plan.json,
case_040,3,scored,90940,1265744,2.787046404,0,11,26.643,results_problem2/case_040_3cores/best_plan.json,
case_040,4,scored,70348,1405678,3.602860067,0,11,25.935,results_problem2/case_040_4cores/best_plan.json,
case_040,5,scored,59032,1897242,4.293501830,0,11,26.402,results_problem2/case_040_5cores/best_plan.json,
case_041,1,singlecore_reference,6003957,0,1.000000000,,0,0,,
case_041,2,scored,2965873,49489160,2.024347300,10626048,10,301.256,results_problem2/case_041_2cores/best_plan.json,
case_041,3,scored,2001138,56698112,3.000271346,15669248,8,293.983,results_problem2/case_041_3cores/best_plan.json,
case_041,4,scored,1507779,46354704,3.981987413,3068928,7,239.079,results_problem2/case_041_4cores/best_plan.json,
case_041,5,scored,1202006,38206464,4.994947613,20075520,8,197.448,results_problem2/case_041_5cores/best_plan.json,
case_042,1,singlecore_reference,1686740,0,1.000000000,,0,0,,
case_042,2,scored,854342,11024024,1.974314736,3673376,11,54.497,results_problem2/case_042_2cores/best_plan.json,
case_042,3,scored,574145,8848680,2.937829294,4635648,8,37.190,results_problem2/case_042_3cores/best_plan.json,
case_042,4,scored,436952,8569704,3.860240942,3477504,8,33.988,results_problem2/case_042_4cores/best_plan.json,
case_042,5,scored,344175,9994092,4.900820803,1808384,8,38.577,results_problem2/case_042_5cores/best_plan.json,
case_043,1,singlecore_reference,677656,0,1.000000000,,0,0,,
case_043,2,scored,343130,1892732,1.974924956,0,11,75.965,results_problem2/case_043_2cores/best_plan.json,
case_043,3,scored,231367,3228256,2.928922448,0,11,82.918,results_problem2/case_043_3cores/best_plan.json,
case_043,4,scored,177349,4040330,3.821030849,0,11,94.672,results_problem2/case_043_4cores/best_plan.json,
case_043,5,scored,146418,4818418,4.628228770,0,11,102.498,results_problem2/case_043_5cores/best_plan.json,
case_044,1,singlecore_reference,154407,0,1.000000000,,0,0,,
case_044,2,scored,61917,1017696,2.493773923,0,8,11.017,results_problem2/case_044_2cores/best_plan.json,
case_044,3,scored,89074,3738560,1.733468801,1787648,10,15.184,results_problem2/case_044_3cores/best_plan.json,
case_044,4,scored,96528,4429344,1.599608404,1556992,11,15.745,results_problem2/case_044_4cores/best_plan.json,
case_044,5,scored,105024,4948224,1.470206810,1348608,10,13.109,results_problem2/case_044_5cores/best_plan.json,
case_045,1,singlecore_reference,125614,0,1.000000000,,0,0,,
case_045,2,scored,63059,0,1.992007485,0,5,4.988,results_problem2/case_045_2cores/best_plan.json,
case_045,3,scored,42601,0,2.948616230,0,6,5.973,results_problem2/case_045_3cores/best_plan.json,
case_045,4,scored,31878,0,3.940460506,0,6,6.135,results_problem2/case_045_4cores/best_plan.json,
case_045,5,scored,26164,0,4.801024308,0,6,6.951,results_problem2/case_045_5cores/best_plan.json,
case_046,1,singlecore_reference,276455,0,1.000000000,,0,0,,
case_046,2,scored,120196,963168,2.300034943,32768,5,5.178,results_problem2/case_046_2cores/best_plan.json,
case_046,3,scored,90323,2133184,3.060737575,0,11,10.706,results_problem2/case_046_3cores/best_plan.json,
case_046,4,scored,81580,2791200,3.388759500,0,6,6.278,results_problem2/case_046_4cores/best_plan.json,
case_046,5,scored,103363,4143488,2.674603098,0,10,10.794,results_problem2/case_046_5cores/best_plan.json,
case_047,1,singlecore_reference,326508,0,1.000000000,,0,0,,
case_047,2,scored,172114,716358,1.897044982,0,11,174.493,results_problem2/case_047_2cores/best_plan.json,
case_047,3,scored,123355,1046218,2.646897167,0,11,164.884,results_problem2/case_047_3cores/best_plan.json,
case_047,4,scored,108699,1591442,3.003781084,0,8,127.867,results_problem2/case_047_4cores/best_plan.json,
case_047,5,scored,95509,1914264,3.418609765,0,8,125.953,results_problem2/case_047_5cores/best_plan.json,
case_048,1,singlecore_reference,222220,0,1.000000000,,0,0,,
case_048,2,scored,128563,501446,1.728491090,0,9,13.396,results_problem2/case_048_2cores/best_plan.json,
case_048,3,scored,97850,488236,2.271027082,0,12,16.598,results_problem2/case_048_3cores/best_plan.json,
case_048,4,scored,97924,495154,2.269310894,0,10,15.698,results_problem2/case_048_4cores/best_plan.json,
case_048,5,scored,98797,501904,2.249258581,0,9,14.776,results_problem2/case_048_5cores/best_plan.json,
case_049,1,singlecore_reference,196276,0,1.000000000,,0,0,,
case_049,2,scored,100791,204974,1.947356411,0,11,31.026,results_problem2/case_049_2cores/best_plan.json,
case_049,3,scored,69306,399188,2.832020316,0,11,33.506,results_problem2/case_049_3cores/best_plan.json,
case_049,4,scored,52598,563394,3.731624777,0,11,34.987,results_problem2/case_049_4cores/best_plan.json,
case_049,5,scored,45618,745118,4.302599851,0,11,37.141,results_problem2/case_049_5cores/best_plan.json,
case_050,1,singlecore_reference,149690,0,1.000000000,,0,0,,
case_050,2,scored,76607,316766,1.953998982,0,11,35.712,results_problem2/case_050_2cores/best_plan.json,
case_050,3,scored,51756,447188,2.892225056,0,11,37.649,results_problem2/case_050_3cores/best_plan.json,
case_050,4,scored,40865,732042,3.663036829,0,11,38.761,results_problem2/case_050_4cores/best_plan.json,
case_050,5,scored,33127,704646,4.518670571,0,11,40.683,results_problem2/case_050_5cores/best_plan.json,
case_051,1,singlecore_reference,607628,0,1.000000000,,0,0,,
case_051,2,scored,366212,393864,1.659224711,0,12,13.401,results_problem2/case_051_2cores/best_plan.json,
case_051,3,scored,301518,393992,2.015229605,0,10,13.926,results_problem2/case_051_3cores/best_plan.json,
case_051,4,scored,263094,525320,2.309547158,0,12,16.886,results_problem2/case_051_4cores/best_plan.json,
case_051,5,scored,208670,328816,2.911908755,0,6,9.822,results_problem2/case_051_5cores/best_plan.json,
case_052,1,singlecore_reference,180301,0,1.000000000,,0,0,,
case_052,2,scored,85344,430632,2.112638264,0,10,9.170,results_problem2/case_052_2cores/best_plan.json,
case_052,3,scored,59088,577600,3.051397915,0,10,10.009,results_problem2/case_052_3cores/best_plan.json,
case_052,4,scored,44532,732232,4.048796371,0,11,10.734,results_problem2/case_052_4cores/best_plan.json,
case_052,5,scored,37440,328704,4.815731838,0,11,9.032,results_problem2/case_052_5cores/best_plan.json,
case_053,1,singlecore_reference,1472686,0,1.000000000,,0,0,,
case_053,2,scored,706748,3301878,2.083749795,0,10,89.338,results_problem2/case_053_2cores/best_plan.json,
case_053,3,scored,482016,5284428,3.055263726,49152,12,113.749,results_problem2/case_053_3cores/best_plan.json,
case_053,4,scored,371227,7937666,3.967076748,0,11,111.705,results_problem2/case_053_4cores/best_plan.json,
case_053,5,scored,325225,9621590,4.528206626,0,11,110.670,results_problem2/case_053_5cores/best_plan.json,
case_054,1,singlecore_reference,815051,0,1.000000000,,0,0,,
case_054,2,scored,417052,1585830,1.954315049,0,11,209.119,results_problem2/case_054_2cores/best_plan.json,
case_054,3,scored,279699,3301068,2.914029010,0,10,183.867,results_problem2/case_054_3cores/best_plan.json,
case_054,4,scored,216946,3843858,3.756930296,0,11,195.314,results_problem2/case_054_4cores/best_plan.json,
case_054,5,scored,174696,4629558,4.665538993,0,11,195.895,results_problem2/case_054_5cores/best_plan.json,
case_055,1,singlecore_reference,118835,0,1.000000000,,0,0,,
case_055,2,scored,53080,203272,2.238790505,0,11,10.077,results_problem2/case_055_2cores/best_plan.json,
case_055,3,scored,35752,377944,3.323869993,0,11,11.525,results_problem2/case_055_3cores/best_plan.json,
